装备名称,装备ID,货币名称,货币费用,等级要求,奖励人物,爆率ID_2,爆率ID_3,爆率ID_4,爆率ID_5,爆率ID_6,爆率ID_7,爆率ID_8,地图说明1,地图说明2,地图说明3,图鉴星图
白龙腰带,10263,点卡,3000,41,A157,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
白龙靴子,10264,点卡,3000,42,A158,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
白龙头盔,10265,点卡,3000,43,A159,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
白龙项链,10266,点卡,3000,43,A160,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
白龙手镯,10267,点卡,3000,43,A161,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
白龙戒指,10268,点卡,3000,43,A162,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
白虎战甲,10155,点卡,3000,44,A163,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
白虎战袍,10156,点卡,3000,45,A164,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
灭魂鬼斩,10157,点卡,3000,46,A165,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
白虎腰带,10257,点卡,3000,48,A166,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
白虎靴子,10258,点卡,3000,50,A167,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
白虎头盔,10259,点卡,3000,53,A168,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
白虎项链,10260,点卡,3000,30,A169,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
白虎手镯,10261,点卡,3000,30,A170,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
白虎戒指,10262,点卡,3000,35,A171,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
凤金道甲,10158,点卡,3000,35,A172,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
凤金道袍,10159,点卡,3000,35,A173,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
天界无极,10160,点卡,3000,35,A174,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
凤金腰带,10269,点卡,3000,40,A175,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
凤金靴子,10270,点卡,3000,40,A176,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
凤金头盔,10271,点卡,3000,40,A177,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
凤金项链,10272,点卡,3000,40,A178,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
凤金手镯,10273,点卡,3000,40,A179,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
凤金戒指,10274,点卡,3000,41,A180,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
碧玉战甲,10162,点卡,4000,42,A181,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
碧玉战袍,10163,点卡,4000,43,A182,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
春暖花开叶,10164,点卡,4000,43,A183,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
碧玉腰带,10239,点卡,4000,43,A184,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
碧玉靴子,10240,点卡,4000,43,A185,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
碧玉头盔,10241,点卡,4000,44,A186,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
碧玉项链,10242,点卡,4000,45,A187,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
碧玉手镯,10243,点卡,4000,46,A188,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
碧玉戒指,10244,点卡,4000,48,A189,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
幽光法甲,10165,点卡,4000,50,A190,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
幽光法袍,10166,点卡,4000,53,A191,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
灵魂收割者,10167,点卡,4000,40,A192,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
幽光腰带,10245,点卡,4000,40,A193,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
幽光靴子,10246,点卡,4000,40,A194,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
幽光头盔,10247,点卡,4000,41,A195,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
幽光项链,10248,点卡,4000,42,A196,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
幽光手镯,10249,点卡,4000,43,A197,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
幽光戒指,10250,点卡,4000,43,A198,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
极光道甲,10168,点卡,4000,43,A199,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
极光道袍,10169,点卡,4000,43,A200,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
玉佛降魔杵,10170,点卡,4000,44,A201,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
极光腰带,10251,点卡,4000,45,A202,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
极光靴子,10252,点卡,4000,46,A203,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
极光头盔,10253,点卡,4000,48,A204,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
极光项链,10254,点卡,4000,50,A205,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
极光手镯,10255,点卡,4000,53,A206,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
极光戒指,10256,点卡,4000,44,A207,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀金战甲,10172,点卡,5000,45,A208,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀金战袍,10173,点卡,5000,46,A209,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀金破龍斩,10174,点卡,5000,48,A210,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀金腰带,10221,点卡,5000,50,A211,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
耀金靴子,10222,点卡,5000,53,A212,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
耀金头盔,10223,点卡,5000,40,A213,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
耀金项链,10224,点卡,5000,40,A214,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
耀金手镯,10225,点卡,5000,40,A215,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
耀金麻戒,10226,点卡,5000,41,A216,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
耀光法甲,10175,点卡,5000,42,A217,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
耀光法袍,10176,点卡,5000,43,A218,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光寒冰刃,10177,点卡,5000,43,A219,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光腰带,10227,点卡,5000,43,A220,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光靴子,10228,点卡,5000,43,A221,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光头盔,10229,点卡,5000,44,A222,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光项链,10230,点卡,5000,45,A223,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光手镯,10231,点卡,5000,46,A224,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀光麻戒,10232,点卡,5000,48,A225,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀玉道甲,10178,点卡,5000,50,A226,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
耀玉道袍,10179,点卡,5000,53,A227,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
耀玉青龙刀,10180,点卡,5000,48,A228,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀玉腰带,10233,点卡,5000,50,A229,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
耀玉靴子,10234,点卡,5000,53,A230,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
耀玉头盔,10235,点卡,5000,44,A231,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀玉项链,10236,点卡,5000,45,A232,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀玉手镯,10237,点卡,5000,46,A233,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
耀玉麻戒,10238,点卡,5000,48,A234,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
奇茸通天·头,10122,点卡,10000,50,A235,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
奇茸通天·链,10123,点卡,10000,53,A236,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
奇茸通天·手,10124,点卡,10000,40,A237,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
奇茸通天·镯,10125,点卡,10000,40,A238,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
奇茸通天·戒,10126,点卡,10000,40,A239,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
奇茸通天·指,10127,点卡,10000,41,A240,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
奇茸通天·带,10128,点卡,10000,42,A241,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
奇茸通天·靴,10129,点卡,10000,43,A242,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
