装备名称,装备ID,货币名称,货币费用,等级要求,奖励人物,爆率ID_2,爆率ID_3,爆率ID_4,爆率ID_5,爆率ID_6,爆率ID_7,爆率ID_8,地图说明1,地图说明2,地图说明3,图鉴星图
黑铁头盔,10052,绑定元宝,4000,43,T16,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿色项链,10053,绑定元宝,4000,44,T17,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
骑士手镯,10054,绑定元宝,4000,45,T18,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
力量戒指,10055,绑定元宝,4000,46,T19,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
恶魔长袍[男],10056,绑定元宝,4000,48,T20,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
恶魔长袍[女],10057,绑定元宝,4000,50,T21,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
骨玉权杖,10058,绑定元宝,4000,53,T22,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
恶魔铃铛,10059,绑定元宝,4000,30,T23,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
龙之手镯,10060,绑定元宝,4000,30,T24,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
紫碧螺,10061,绑定元宝,4000,35,T25,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
幽灵战衣[男],10062,绑定元宝,4000,35,T26,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
幽灵战衣[女],10063,绑定元宝,4000,35,T27,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
龙纹剑,10064,绑定元宝,4000,35,T28,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
灵魂项链,10065,绑定元宝,4000,40,T29,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
三眼手镯,10066,绑定元宝,4000,40,T30,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
泰坦戒指,10067,绑定元宝,4000,40,T31,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
天魔神甲,10068,绑定元宝,6000,40,T32,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
圣战宝甲,10069,绑定元宝,6000,40,T33,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
屠龙,10070,绑定元宝,6000,41,T34,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
圣战头盔,10071,绑定元宝,6000,42,T35,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
圣战项链,10072,绑定元宝,6000,43,T36,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
圣战手镯,10073,绑定元宝,6000,43,T37,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
圣战戒指,10074,绑定元宝,6000,43,T38,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
圣战靴子,10075,绑定元宝,6000,43,T39,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
圣战腰带,10076,绑定元宝,6000,44,T40,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
法神披风,10077,绑定元宝,6000,45,T41,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
霓裳羽衣,10078,绑定元宝,6000,46,T42,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
嗜魂法杖,10079,绑定元宝,6000,48,T43,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
法神头盔,10080,绑定元宝,6000,50,T44,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
法神项链,10081,绑定元宝,6000,53,T45,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
法神手镯,10082,绑定元宝,6000,30,T46,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
法神戒指,10083,绑定元宝,6000,30,T47,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
法神靴子,10084,绑定元宝,6000,35,T48,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
法神腰带,10085,绑定元宝,6000,35,T49,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
天尊道袍,10086,绑定元宝,6000,35,T50,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
天师长袍,10087,绑定元宝,6000,35,T51,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
霸者之刃,10088,绑定元宝,6000,40,T52,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
天尊头盔,10089,绑定元宝,6000,40,T53,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
天尊项链,10090,绑定元宝,6000,40,T54,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
天尊手镯,10091,绑定元宝,6000,40,T55,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
天尊戒指,10092,绑定元宝,6000,40,T56,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
天尊靴子,10093,绑定元宝,6000,41,T57,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
天尊腰带,10094,绑定元宝,6000,42,T58,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
藤域头盔,10346,绑定元宝,8000,43,T59,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
藤域项链,10347,绑定元宝,8000,43,T60,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
藤域手镯,10348,绑定元宝,8000,43,T61,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
藤域戒指,10349,绑定元宝,8000,43,T62,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
藤域靴子,10350,绑定元宝,8000,44,T63,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
藤域腰带,10351,绑定元宝,8000,45,T64,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
沐域头盔,10352,绑定元宝,8000,46,T65,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
沐域项链,10353,绑定元宝,8000,48,T66,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
沐域手镯,10354,绑定元宝,8000,50,T67,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
沐域戒指,10355,绑定元宝,8000,53,T68,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
沐域靴子,10356,绑定元宝,8000,30,T69,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
沐域腰带,10357,绑定元宝,8000,30,T70,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
道域头盔,10358,绑定元宝,8000,35,T71,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
道域项链,10359,绑定元宝,8000,35,T72,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
道域手镯,10360,绑定元宝,8000,35,T73,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
道域戒指,10361,绑定元宝,8000,35,T74,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
道域靴子,10362,绑定元宝,8000,40,T75,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
道域腰带,10363,绑定元宝,8000,40,T76,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
铜域头盔,10364,绑定元宝,8000,40,T77,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
铜域项链,10365,绑定元宝,8000,40,T78,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
铜域手镯,10366,绑定元宝,8000,40,T79,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
铜域戒指,10367,绑定元宝,8000,41,T80,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
铜域靴子,10368,绑定元宝,8000,42,T81,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
铜域腰带,10369,绑定元宝,8000,43,T82,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
水域头盔,10370,绑定元宝,8000,43,T83,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
水域项链,10371,绑定元宝,8000,43,T84,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
水域手镯,10372,绑定元宝,8000,43,T85,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
水域戒指,10373,绑定元宝,8000,44,T86,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
水域靴子,10374,绑定元宝,8000,45,T87,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
水域腰带,10375,绑定元宝,8000,46,T88,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
土域头盔,10376,绑定元宝,8000,48,T89,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
土域项链,10377,绑定元宝,8000,50,T90,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
土域手镯,10378,绑定元宝,8000,53,T91,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
土域戒指,10379,绑定元宝,8000,40,T92,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
土域靴子,10380,绑定元宝,8000,40,T93,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
土域腰带,10381,绑定元宝,8000,40,T94,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
绿玉裁决,10134,绑定元宝,8000,41,T95,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
蓝灵法杖,10383,绑定元宝,8000,42,T96,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
青罡佛尘,10382,绑定元宝,8000,43,T97,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉战甲,10131,绑定元宝,10000,43,T98,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉战袍,10132,绑定元宝,10000,43,T99,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉屠龙,10133,绑定元宝,10000,43,T100,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉腰带,10305,绑定元宝,10000,44,T101,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉靴子,10306,绑定元宝,10000,45,T102,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉头盔,10307,绑定元宝,10000,46,T103,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉项链,10308,绑定元宝,10000,48,T104,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉手镯,10309,绑定元宝,10000,50,T105,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
绿玉戒指,10310,绑定元宝,10000,53,T106,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
紫光法甲,10135,绑定元宝,10000,44,T107,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光法袍,10136,绑定元宝,10000,45,T108,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光法杖,10137,绑定元宝,10000,46,T109,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光腰带,10293,绑定元宝,10000,48,T110,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光靴子,10294,绑定元宝,10000,50,T111,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
紫光头盔,10295,绑定元宝,10000,53,T112,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
紫光项链,10296,绑定元宝,10000,40,T113,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
紫光手镯,10297,绑定元宝,10000,40,T114,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
紫光戒指,10298,绑定元宝,10000,40,T115,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
绿疾道甲,10138,绑定元宝,10000,41,T116,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
绿疾道袍,10139,绑定元宝,10000,42,T117,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
绿玉无极棍,10140,绑定元宝,10000,43,T118,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾腰带,10299,绑定元宝,10000,43,T119,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾靴子,10300,绑定元宝,10000,43,T120,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾头盔,10301,绑定元宝,10000,43,T121,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾项链,10302,绑定元宝,10000,44,T122,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾手镯,10303,绑定元宝,10000,45,T123,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾戒指,10304,绑定元宝,10000,46,T124,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
