,玄武ぃ靴,凛冬ぅ戒,
,,凛冬ぅ指,
,,凛冬ぅ带,
,,凛冬ぅ靴,
,,冰霜ぅ甲,
,,冰霜ぅ袍,
,,雪寂ぅ甲,
,,雪寂ぅ袍,
,,凛冬ぅ甲,
,,凛冬ぅ袍,
,,寂灭え盔,
,,寂灭え链,
,,寂灭え手,
,,寂灭え镯,
,,寂灭え戒,
,,寂灭え指,
,,寂灭え带,
,,寂灭え靴,
,,业火え盔,
,,业火え链,
,,业火え手,
,,业火え镯,
,,业火え戒,
,,业火え指,
,,业火え带,
,,业火え靴,
,,冥天え盔,
,,冥天え链,
,,冥天え手,
,,冥天え镯,
,,冥天え戒,
,,冥天え指,
,,冥天え带,
,,冥天え靴,
,,神罚之盔,
,,神罚之链,
,,神罚之手,
,,神罚之镯,
,,神罚之戒,
,,神罚之指,
,,神罚之带,
,,神罚之靴,
,,圣裁之盔,
,,圣裁之链,
,,圣裁之手,
,,圣裁之镯,
,,圣裁之戒,
,,圣裁之指,
,,圣裁之带,
,,圣裁之靴,
,,仙戮之盔,
,,仙戮之链,
,,仙戮之手,
,,仙戮之镯,
,,仙戮之戒,
,,仙戮之指,
,,仙戮之带,
,,仙戮之靴,
